project	filename	bytes	sha256	storage
Control-Center	canonical-control-center-source.zip	3769470	68b384dc2afd4c06f7fd5727dd0a0e67d7e035b141b14c3f1fa9e7a183a3fbf1	GitHub prerelease wip-post-reset
ForgeHX	forgehx-0.4.0.tar.gz	140618	3aee3a2c963cf3f92a2f242c1b02448ed605c4ebe33a2a19c836c56287adeb5c	GitHub prerelease wip-post-reset
ForgeHX	forgehx-0.4.1.tar.gz	141175	baecf5bd881d583eecd46a85cdd98172b9dc94667463b4634512d14213a40b8c	GitHub prerelease wip-post-reset
ForgeHX	forgehx-0.4.2.tar.gz	141602	ddac567579eecf44a534f569ea653fc812c4b1fabcecf4bbf1eaacce0a0c9f1f	GitHub prerelease wip-post-reset
ForgeHX	forgehx-0.4.2-1-x86_64.pkg.tar.zst	5573010	56cc96b80779839c701d6245679862ed2bf239eaeda6cbef0b923e33ccc8c5b2	GitHub prerelease wip-post-reset
ForgeHX	forgehx-debug-0.4.2-1-x86_64.pkg.tar.zst	621771	05267345764d865c1c24ac2634ca48843ca56570292c4d70fa9d2adbde6a9474	GitHub prerelease wip-post-reset
ForgeHX	forgehx-0.5.0.tar.gz	155656	11c618ae48711879fc66d07ecd647248a94161a6aeb19190af5bda55dd621ef5	GitHub prerelease wip-post-reset
ForgeHX	forgehx-0.5.1.tar.gz	155973	4979c924f614789c05e675b906da40a7adc5134570a366d886ed5636d774af58	GitHub prerelease wip-post-reset
ForgeHX	forgehx-0.5.1-1-x86_64.pkg.tar.zst	5620672	a751253b9b0c3001f0b5332a1f32b37657ab89ad182098269613b7076fca7384	GitHub prerelease wip-post-reset
ForgeHX	forgehx-debug-0.5.1-1-x86_64.pkg.tar.zst	625838	5259e1ae4b902a78b76284b722ecaad7aa47fa6e3e1bf581e6086f37b6716dc6	GitHub prerelease wip-post-reset
ForgeHX	forgehx-0.6.0.tar.gz	160175	9a6e95103d455907a4bc4d0f469eaedaf55c2213bd25be407749ed63d365e82c	GitHub prerelease wip-post-reset
ForgeHX	forgehx-0.6.0-1-x86_64.pkg.tar.zst	5615299	65cdf9c55d8bf14c2b66ac67c3a561318832e44a350aebb3012609654e2a61e6	GitHub prerelease wip-post-reset
ForgeHX	forgehx-debug-0.6.0-1-x86_64.pkg.tar.zst	625819	cad2b35665b56e799ab813f77b4f5407ca7d2c496bd6588620278759ef72d47d	GitHub prerelease wip-post-reset
ForgeHX	forgehx-1.0.1.tar.gz	174204	12024a1b3712a62e90fe48dddf76df7088c15c9e400d825f789ac8851e060c5a	GitHub prerelease wip-post-reset
ForgeHX	forgehx-1.0.2.tar.gz	174711	0af05e7b3d830b6dd8594a2226ed43cfcb5d87c3d5c9baa208491a0f98a2d86d	GitHub prerelease wip-post-reset
ForgeHX	forgehx-1.0.2-1-x86_64.pkg.tar.zst	6117682	a68e51fa87a38dea242c31cd521667aedf607ffc632f9fb44e41bc2da6da633d	GitHub prerelease wip-post-reset
